,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
228,bing,True,FGSM,resnet,40/60,alexnet,ddg,20/80,0.715,0.6423841,0.97,0.77290845
229,bing,True,FGSM,resnet,40/60,alexnet,ddg,30/70,0.805,0.78504676,0.84,0.81159425
230,bing,True,FGSM,resnet,40/60,alexnet,ddg,40/60,0.79999995,0.84090906,0.74,0.78723407
231,bing,True,FGSM,resnet,40/60,alexnet,ddg,50/50,0.745,0.8101266,0.64,0.7150838
232,bing,True,FGSM,resnet,40/60,resnet,ddg,20/80,0.555,0.5470086,0.64,0.5898617
233,bing,True,FGSM,resnet,40/60,resnet,ddg,30/70,0.57,0.609375,0.39,0.47560972
234,bing,True,FGSM,resnet,40/60,resnet,ddg,40/60,0.555,0.6486486,0.24,0.35036495
235,bing,True,FGSM,resnet,40/60,resnet,ddg,50/50,0.555,0.5846154,0.38,0.46060607
236,bing,True,FGSM,resnet,40/60,vgg,ddg,20/80,0.66999996,0.625,0.85,0.720339
237,bing,True,FGSM,resnet,40/60,vgg,ddg,30/70,0.66499996,0.6460177,0.73,0.68544596
238,bing,True,FGSM,resnet,40/60,vgg,ddg,40/60,0.685,0.7761194,0.52,0.62275445
239,bing,True,FGSM,resnet,40/60,vgg,ddg,50/50,0.68,0.75,0.54,0.62790704
240,bing,True,FGSM,resnet,40/60,alexnet,google,20/80,0.72999996,0.65753424,0.96,0.78048784
241,bing,True,FGSM,resnet,40/60,alexnet,google,30/70,0.805,0.7904762,0.83,0.80975604
242,bing,True,FGSM,resnet,40/60,alexnet,google,40/60,0.84,0.8541667,0.82,0.8367347
243,bing,True,FGSM,resnet,40/60,alexnet,google,50/50,0.84,0.91463417,0.75,0.8241758
244,bing,True,FGSM,resnet,40/60,resnet,google,20/80,0.52,0.5151515,0.68,0.58620685
245,bing,True,FGSM,resnet,40/60,resnet,google,30/70,0.555,0.6,0.33,0.42580646
246,bing,True,FGSM,resnet,40/60,resnet,google,40/60,0.55,0.6041667,0.29,0.39189187
247,bing,True,FGSM,resnet,40/60,resnet,google,50/50,0.565,0.6226415,0.33,0.43137258
248,bing,True,FGSM,resnet,40/60,vgg,google,20/80,0.66999996,0.6328125,0.81,0.71052635
249,bing,True,FGSM,resnet,40/60,vgg,google,30/70,0.7,0.7,0.7,0.7
250,bing,True,FGSM,resnet,40/60,vgg,google,40/60,0.65,0.72727275,0.48,0.57831323
251,bing,True,FGSM,resnet,40/60,vgg,google,50/50,0.645,0.78431374,0.4,0.5298013
252,bing,True,FGSM,resnet,50/50,alexnet,bing,20/80,0.78499997,0.73170733,0.9,0.8071749
253,bing,True,FGSM,resnet,50/50,alexnet,bing,30/70,0.81,0.81,0.81,0.80999994
254,bing,True,FGSM,resnet,50/50,alexnet,bing,40/60,0.81,0.85227275,0.75,0.79787236
255,bing,True,FGSM,resnet,50/50,alexnet,bing,50/50,0.79499996,0.7706422,0.84,0.80382776
256,bing,True,FGSM,resnet,50/50,resnet,bing,20/80,0.53999996,0.52469134,0.85,0.6488549
257,bing,True,FGSM,resnet,50/50,resnet,bing,30/70,0.51,0.50877196,0.58,0.5420561
258,bing,True,FGSM,resnet,50/50,resnet,bing,40/60,0.48999998,0.48863637,0.43,0.4574468
259,bing,True,FGSM,resnet,50/50,resnet,bing,50/50,0.51,0.5102041,0.5,0.5050505
260,bing,True,FGSM,resnet,50/50,vgg,bing,20/80,0.69,0.6439394,0.85,0.73275864
261,bing,True,FGSM,resnet,50/50,vgg,bing,30/70,0.68,0.65,0.78,0.7090909
262,bing,True,FGSM,resnet,50/50,vgg,bing,40/60,0.69,0.70652175,0.65,0.6770833
