,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
52,bing,True,FGSM,alexnet,30/70,resnet,ddg,20/80,0.745,0.7058824,0.84,0.7671233
53,bing,True,FGSM,alexnet,30/70,resnet,ddg,30/70,0.765,0.9206349,0.58,0.71165645
54,bing,True,FGSM,alexnet,30/70,resnet,ddg,40/60,0.635,0.9354839,0.29,0.44274804
55,bing,True,FGSM,alexnet,30/70,resnet,ddg,50/50,0.72999996,0.8833333,0.53,0.66249996
56,bing,True,FGSM,alexnet,30/70,vgg,ddg,20/80,0.7,0.65384614,0.85,0.7391305
57,bing,True,FGSM,alexnet,30/70,vgg,ddg,30/70,0.71,0.6981132,0.74,0.7184466
58,bing,True,FGSM,alexnet,30/70,vgg,ddg,40/60,0.715,0.8208955,0.55,0.65868264
59,bing,True,FGSM,alexnet,30/70,vgg,ddg,50/50,0.74,0.85294116,0.58,0.6904761
60,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.59,0.57377046,0.7,0.6306306
61,bing,True,FGSM,alexnet,30/70,alexnet,google,30/70,0.59999996,0.64285713,0.45,0.52941173
62,bing,True,FGSM,alexnet,30/70,alexnet,google,40/60,0.59,0.66071427,0.37,0.47435898
63,bing,True,FGSM,alexnet,30/70,alexnet,google,50/50,0.565,0.63829786,0.3,0.40816328
64,bing,True,FGSM,alexnet,30/70,resnet,google,20/80,0.74,0.6846154,0.89,0.773913
65,bing,True,FGSM,alexnet,30/70,resnet,google,30/70,0.72999996,0.96,0.48,0.64000005
66,bing,True,FGSM,alexnet,30/70,resnet,google,40/60,0.72499996,0.8947368,0.51,0.64968157
67,bing,True,FGSM,alexnet,30/70,resnet,google,50/50,0.71999997,0.94,0.47,0.62666667
68,bing,True,FGSM,alexnet,30/70,vgg,google,20/80,0.75,0.7118644,0.84,0.77064216
69,bing,True,FGSM,alexnet,30/70,vgg,google,30/70,0.72999996,0.7613636,0.67,0.712766
70,bing,True,FGSM,alexnet,30/70,vgg,google,40/60,0.68,0.8214286,0.46,0.5897436
71,bing,True,FGSM,alexnet,30/70,vgg,google,50/50,0.65,0.84090906,0.37,0.5138889
72,bing,True,FGSM,alexnet,40/60,alexnet,bing,20/80,0.585,0.57798165,0.63,0.6028708
73,bing,True,FGSM,alexnet,40/60,alexnet,bing,30/70,0.51,0.51428574,0.36,0.42352942
74,bing,True,FGSM,alexnet,40/60,alexnet,bing,40/60,0.48999998,0.4814815,0.26,0.3376623
75,bing,True,FGSM,alexnet,40/60,alexnet,bing,50/50,0.58,0.6,0.48,0.53333336
76,bing,True,FGSM,alexnet,40/60,resnet,bing,20/80,0.66499996,0.60248446,0.97,0.743295
