,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
53,bing,True,FGSM,vgg,40/60,resnet,ddg,30/70,0.55,0.6041667,0.29,0.39189187
54,bing,True,FGSM,vgg,40/60,resnet,ddg,40/60,0.49499997,0.0,0.0,nan
55,bing,True,FGSM,vgg,40/60,resnet,ddg,50/50,0.58,0.6818182,0.3,0.4166667
56,bing,True,FGSM,vgg,40/60,vgg,ddg,20/80,0.53,0.5176471,0.88,0.65185183
57,bing,True,FGSM,vgg,40/60,vgg,ddg,30/70,0.53499997,0.52671754,0.69,0.5974026
58,bing,True,FGSM,vgg,40/60,vgg,ddg,40/60,0.505,0.6,0.03,0.05714286
59,bing,True,FGSM,vgg,40/60,vgg,ddg,50/50,0.515,0.71428573,0.05,0.093457945
60,bing,True,FGSM,vgg,40/60,alexnet,google,20/80,0.515,0.5145631,0.53,0.5221675
61,bing,True,FGSM,vgg,40/60,alexnet,google,30/70,0.525,0.6315789,0.12,0.20168066
62,bing,True,FGSM,vgg,40/60,alexnet,google,40/60,0.52,0.56666666,0.17,0.26153845
63,bing,True,FGSM,vgg,40/60,alexnet,google,50/50,0.5,0.5,0.14,0.21875
64,bing,True,FGSM,vgg,40/60,resnet,google,20/80,0.505,0.5026455,0.95,0.6574394
65,bing,True,FGSM,vgg,40/60,resnet,google,30/70,0.53499997,0.5522388,0.37,0.4431138
66,bing,True,FGSM,vgg,40/60,resnet,google,40/60,0.515,0.5217391,0.36,0.42603552
67,bing,True,FGSM,vgg,40/60,resnet,google,50/50,0.55,0.65625,0.21,0.3181818
68,bing,True,FGSM,vgg,40/60,vgg,google,20/80,0.555,0.54330707,0.69,0.60792947
69,bing,True,FGSM,vgg,40/60,vgg,google,30/70,0.575,0.5882353,0.5,0.5405405
70,bing,True,FGSM,vgg,40/60,vgg,google,40/60,0.5,0.5,0.12,0.19354838
71,bing,True,FGSM,vgg,40/60,vgg,google,50/50,0.515,1.0,0.03,0.058252428
72,bing,True,FGSM,vgg,20/80,alexnet,bing,20/80,0.545,0.53781515,0.64,0.58447486
73,bing,True,FGSM,vgg,20/80,alexnet,bing,30/70,0.48,0.475,0.38,0.42222223
74,bing,True,FGSM,vgg,20/80,alexnet,bing,40/60,0.5,0.5,0.04,0.07407407
75,bing,True,FGSM,vgg,20/80,alexnet,bing,50/50,0.5,0.5,0.15,0.23076925
76,bing,True,FGSM,vgg,20/80,resnet,bing,20/80,0.5,0.5,0.99,0.66442955
77,bing,True,FGSM,vgg,20/80,resnet,bing,30/70,0.58,0.5487805,0.9,0.6818182
