,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
53,bing,True,FGSM,vgg,40/60,resnet,ddg,30/70,0.59999996,0.67241377,0.39,0.4936709
54,bing,True,FGSM,vgg,40/60,resnet,ddg,40/60,0.52,0.8333333,0.05,0.094339624
55,bing,True,FGSM,vgg,40/60,resnet,ddg,50/50,0.635,0.7368421,0.42,0.5350318
56,bing,True,FGSM,vgg,40/60,vgg,ddg,20/80,0.505,0.5034965,0.72,0.5925926
57,bing,True,FGSM,vgg,40/60,vgg,ddg,30/70,0.53,0.5258621,0.61,0.56481487
58,bing,True,FGSM,vgg,40/60,vgg,ddg,40/60,0.48999998,0.42857143,0.06,0.10526316
59,bing,True,FGSM,vgg,40/60,vgg,ddg,50/50,0.505,0.5555556,0.05,0.09174312
60,bing,True,FGSM,vgg,40/60,alexnet,google,20/80,0.59499997,0.5703704,0.77,0.6553191
61,bing,True,FGSM,vgg,40/60,alexnet,google,30/70,0.55,0.6041667,0.29,0.39189187
62,bing,True,FGSM,vgg,40/60,alexnet,google,40/60,0.575,0.6666667,0.3,0.41379312
63,bing,True,FGSM,vgg,40/60,alexnet,google,50/50,0.53,0.575,0.23,0.3285714
64,bing,True,FGSM,vgg,40/60,resnet,google,20/80,0.515,0.5084746,0.9,0.6498195
65,bing,True,FGSM,vgg,40/60,resnet,google,30/70,0.565,0.6181818,0.34,0.43870965
66,bing,True,FGSM,vgg,40/60,resnet,google,40/60,0.53999996,0.5769231,0.3,0.39473686
67,bing,True,FGSM,vgg,40/60,resnet,google,50/50,0.545,0.61538464,0.24,0.34532374
68,bing,True,FGSM,vgg,40/60,vgg,google,20/80,0.49499997,0.49593496,0.61,0.5470852
69,bing,True,FGSM,vgg,40/60,vgg,google,30/70,0.505,0.5063291,0.4,0.44692737
70,bing,True,FGSM,vgg,40/60,vgg,google,40/60,0.515,0.54285717,0.19,0.28148147
71,bing,True,FGSM,vgg,40/60,vgg,google,50/50,0.48,0.33333334,0.04,0.071428575
72,bing,True,FGSM,vgg,20/80,alexnet,bing,20/80,0.60499996,0.5963303,0.65,0.6220096
73,bing,True,FGSM,vgg,20/80,alexnet,bing,30/70,0.525,0.53424656,0.39,0.45086706
74,bing,True,FGSM,vgg,20/80,alexnet,bing,40/60,0.515,0.6,0.09,0.15652174
75,bing,True,FGSM,vgg,20/80,alexnet,bing,50/50,0.56,0.62,0.31,0.41333333
76,bing,True,FGSM,vgg,20/80,resnet,bing,20/80,0.505,0.5025381,0.99,0.6666667
77,bing,True,FGSM,vgg,20/80,resnet,bing,30/70,0.62,0.5769231,0.9,0.703125
78,bing,True,FGSM,vgg,20/80,resnet,bing,40/60,0.59499997,0.56551725,0.82,0.66938776
79,bing,True,FGSM,vgg,20/80,resnet,bing,50/50,0.635,0.608,0.76,0.6755555
80,bing,True,FGSM,vgg,20/80,vgg,bing,20/80,0.53499997,0.5202312,0.9,0.6593406
81,bing,True,FGSM,vgg,20/80,vgg,bing,30/70,0.58,0.5588235,0.76,0.64406776
82,bing,True,FGSM,vgg,20/80,vgg,bing,40/60,0.52,0.54347825,0.25,0.34246576
83,bing,True,FGSM,vgg,20/80,vgg,bing,50/50,0.525,0.5714286,0.2,0.2962963
84,bing,True,FGSM,vgg,20/80,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
85,bing,True,FGSM,vgg,20/80,alexnet,ddg,30/70,0.645,0.67469877,0.56,0.61202186
86,bing,True,FGSM,vgg,20/80,alexnet,ddg,40/60,0.49499997,0.4957265,0.58,0.5345622
87,bing,True,FGSM,vgg,20/80,alexnet,ddg,50/50,0.53999996,0.7,0.14,0.23333333
88,bing,True,FGSM,vgg,20/80,resnet,ddg,20/80,0.60499996,0.5826772,0.74,0.6519824
