,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
52,bing,True,FGSM,alexnet,30/70,resnet,ddg,20/80,0.59999996,0.5877193,0.67,0.62616825
53,bing,True,FGSM,alexnet,30/70,resnet,ddg,30/70,0.60499996,0.83870965,0.26,0.39694658
54,bing,True,FGSM,alexnet,30/70,resnet,ddg,40/60,0.51,1.0,0.02,0.039215688
55,bing,True,FGSM,alexnet,30/70,resnet,ddg,50/50,0.59,0.8214286,0.23,0.359375
56,bing,True,FGSM,alexnet,30/70,vgg,ddg,20/80,0.61,0.57746476,0.82,0.677686
57,bing,True,FGSM,alexnet,30/70,vgg,ddg,30/70,0.62,0.61538464,0.64,0.62745094
58,bing,True,FGSM,alexnet,30/70,vgg,ddg,40/60,0.53999996,0.75,0.12,0.20689654
59,bing,True,FGSM,alexnet,30/70,vgg,ddg,50/50,0.53499997,0.7692308,0.1,0.17699115
60,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.48499998,0.4814815,0.39,0.43093923
61,bing,True,FGSM,alexnet,30/70,alexnet,google,30/70,0.505,0.5185185,0.14,0.22047246
62,bing,True,FGSM,alexnet,30/70,alexnet,google,40/60,0.5,0.5,0.1,0.16666666
63,bing,True,FGSM,alexnet,30/70,alexnet,google,50/50,0.505,0.5151515,0.17,0.2556391
64,bing,True,FGSM,alexnet,30/70,resnet,google,20/80,0.515,0.50898206,0.85,0.63670415
65,bing,True,FGSM,alexnet,30/70,resnet,google,30/70,0.53999996,0.78571427,0.11,0.19298245
66,bing,True,FGSM,alexnet,30/70,resnet,google,40/60,0.545,0.71428573,0.15,0.24793391
67,bing,True,FGSM,alexnet,30/70,resnet,google,50/50,0.53999996,0.8333333,0.1,0.17857143
68,bing,True,FGSM,alexnet,30/70,vgg,google,20/80,0.635,0.6173913,0.71,0.66046506
69,bing,True,FGSM,alexnet,30/70,vgg,google,30/70,0.615,0.67164177,0.45,0.53892213
70,bing,True,FGSM,alexnet,30/70,vgg,google,40/60,0.51,0.5714286,0.08,0.14035088
71,bing,True,FGSM,alexnet,30/70,vgg,google,50/50,0.505,0.5714286,0.04,0.074766345
72,bing,True,FGSM,alexnet,40/60,alexnet,bing,20/80,0.45499998,0.45794392,0.49,0.47342995
73,bing,True,FGSM,alexnet,40/60,alexnet,bing,30/70,0.45499998,0.42105263,0.24,0.30573246
74,bing,True,FGSM,alexnet,40/60,alexnet,bing,40/60,0.48999998,0.33333334,0.02,0.03773585
75,bing,True,FGSM,alexnet,40/60,alexnet,bing,50/50,0.515,0.5205479,0.38,0.43930635
76,bing,True,FGSM,alexnet,40/60,resnet,bing,20/80,0.51,0.50510204,0.99,0.6689189
77,bing,True,FGSM,alexnet,40/60,resnet,bing,30/70,0.61,0.5733333,0.86,0.68799996
78,bing,True,FGSM,alexnet,40/60,resnet,bing,40/60,0.59,0.56164384,0.82,0.6666667
