,dataset,math,attack,model,modelDataset,balancing,time
110,ddg,True,FAB,vgg,ddg,30/70,309.0280101
111,ddg,True,DIFGSM,vgg,ddg,30/70,26.51826286
112,ddg,True,DeepFool,vgg,ddg,30/70,32.49956656
113,ddg,True,FGSM,vgg,ddg,40/60,2.204001188
114,ddg,True,CW,vgg,ddg,40/60,133.3035383
115,ddg,True,FAB,vgg,ddg,40/60,306.9929533
116,ddg,True,DIFGSM,vgg,ddg,40/60,26.41382575
117,ddg,True,DeepFool,vgg,ddg,40/60,22.57284594
118,ddg,True,FGSM,vgg,ddg,50/50,2.187986851
119,ddg,True,CW,vgg,ddg,50/50,132.0280764
120,ddg,True,FAB,vgg,ddg,50/50,304.9622626
121,ddg,True,DIFGSM,vgg,ddg,50/50,26.37936139
122,ddg,True,DeepFool,vgg,ddg,50/50,24.8250134
123,bing,True,FGSM,alexnet,bing,20/80,4.042710781
124,bing,True,CW,alexnet,bing,20/80,19.65447116
125,bing,True,FAB,alexnet,bing,20/80,89.59615779
126,bing,True,DIFGSM,alexnet,bing,20/80,6.625547886
127,bing,True,DeepFool,alexnet,bing,20/80,5.678950071
128,bing,True,FGSM,alexnet,bing,30/70,1.120016813
129,bing,True,CW,alexnet,bing,30/70,19.96665359
130,bing,True,FAB,alexnet,bing,30/70,83.95005035
131,bing,True,DIFGSM,alexnet,bing,30/70,4.196868658
132,bing,True,DeepFool,alexnet,bing,30/70,5.498296738
133,bing,True,FGSM,alexnet,bing,40/60,1.14904356
134,bing,True,CW,alexnet,bing,40/60,19.54141092
135,bing,True,FAB,alexnet,bing,40/60,85.43423462
136,bing,True,DIFGSM,alexnet,bing,40/60,4.157757282
137,bing,True,DeepFool,alexnet,bing,40/60,5.97512269
138,bing,True,FGSM,alexnet,bing,50/50,1.171062946
139,bing,True,CW,alexnet,bing,50/50,20.10696578
140,bing,True,FAB,alexnet,bing,50/50,86.5326252
141,bing,True,DIFGSM,alexnet,bing,50/50,4.069939137
142,bing,True,DeepFool,alexnet,bing,50/50,6.49917841
143,bing,True,FGSM,resnet,bing,20/80,1.581436157
144,bing,True,CW,resnet,bing,20/80,57.65172124
145,bing,True,FAB,resnet,bing,20/80,167.7183583
146,bing,True,DIFGSM,resnet,bing,20/80,11.22759628
147,bing,True,DeepFool,resnet,bing,20/80,12.31716967
148,bing,True,FGSM,resnet,bing,30/70,1.533392191
149,bing,True,CW,resnet,bing,30/70,57.17398596
150,bing,True,FAB,resnet,bing,30/70,161.7555373
151,bing,True,DIFGSM,resnet,bing,30/70,11.13877821
152,bing,True,DeepFool,resnet,bing,30/70,13.07606435
153,bing,True,FGSM,resnet,bing,40/60,1.501363277
154,bing,True,CW,resnet,bing,40/60,55.89600611
155,bing,True,FAB,resnet,bing,40/60,156.2574799
156,bing,True,DIFGSM,resnet,bing,40/60,11.14112234
157,bing,True,DeepFool,resnet,bing,40/60,10.51385045
158,bing,True,FGSM,resnet,bing,50/50,1.540399313
159,bing,True,CW,resnet,bing,50/50,57.00712156
160,bing,True,FAB,resnet,bing,50/50,164.6420312
161,bing,True,DIFGSM,resnet,bing,50/50,11.14904308
162,bing,True,DeepFool,resnet,bing,50/50,13.02199101
163,bing,True,FGSM,vgg,bing,20/80,6.488609552
164,bing,True,CW,vgg,bing,20/80,132.639632
165,bing,True,FAB,vgg,bing,20/80,313.9075322
166,bing,True,DIFGSM,vgg,bing,20/80,27.17566514
167,bing,True,DeepFool,vgg,bing,20/80,22.29676414
168,bing,True,FGSM,vgg,bing,30/70,2.319631338
169,bing,True,CW,vgg,bing,30/70,135.1773915
170,bing,True,FAB,vgg,bing,30/70,308.7525375
171,bing,True,DIFGSM,vgg,bing,30/70,26.61157513
172,bing,True,DeepFool,vgg,bing,30/70,21.15444183
173,bing,True,FGSM,vgg,bing,40/60,2.231531143
174,bing,True,CW,vgg,bing,40/60,133.402415
175,bing,True,FAB,vgg,bing,40/60,306.9802449
176,bing,True,DIFGSM,vgg,bing,40/60,26.24277854
177,bing,True,DeepFool,vgg,bing,40/60,28.12525797
178,bing,True,FGSM,vgg,bing,50/50,2.248041153
179,bing,True,CW,vgg,bing,50/50,135.6211331
180,bing,True,FAB,vgg,bing,50/50,313.3110361
181,bing,True,DIFGSM,vgg,bing,50/50,26.54128218
182,bing,True,DeepFool,vgg,bing,50/50,20.43253684
